Celltype,Condition,Clusters,PatientID,nFeature,nCount,Rowinds
APOE+ FIB,LS,1,Patient1,221,834.861749516582,663
APOE+ FIB,LS,1,Patient1,427,1323.4935292480063,664
APOE+ FIB,LS,1,Patient1,343,1137.1680738233035,666
APOE+ FIB,LS,1,Patient1,359,1151.3879173529165,667
APOE+ FIB,LS,1,Patient1,321,1090.6351983075567,668
APOE+ FIB,LS,1,Patient1,305,1040.3574599516821,669
APOE+ FIB,LS,1,Patient1,313,1058.8975173341184,670
APOE+ FIB,LS,1,Patient1,309,1065.7916099038832,671
APOE+ FIB,LS,1,Patient1,325,1065.429926467383,672
APOE+ FIB,LS,1,Patient1,354,1120.3899827861374,674
APOE+ FIB,LS,1,Patient1,335,1119.252093301644,675
APOE+ FIB,LS,1,Patient1,344,1121.3973811280284,679
APOE+ FIB,LS,1,Patient1,368,1170.0685129542162,680
APOE+ FIB,LS,1,Patient1,372,1208.4278957666543,681
APOE+ FIB,LS,1,Patient1,209,797.3863794410349,682
APOE+ FIB,LS,1,Patient1,337,1129.0985517539873,683
APOE+ FIB,LS,1,Patient1,243,901.4959098001794,684
APOE+ FIB,LS,1,Patient1,347,1124.7841827979264,686
APOE+ FIB,LS,1,Patient1,350,1142.8152876351962,687
APOE+ FIB,LS,1,Patient1,279,974.7139646541152,688
APOE+ FIB,LS,1,Patient1,389,1225.448164467342,689
APOE+ FIB,LS,1,Patient1,219,829.2044818638093,690
APOE+ FIB,LS,1,Patient1,368,1175.9254534121321,691
APOE+ FIB,LS,1,Patient1,307,1056.4269034210906,692
APOE+ FIB,LS,1,Patient1,281,978.3300687939959,693
APOE+ FIB,LS,1,Patient1,246,901.4346402111292,694
APOE+ FIB,LS,3,Patient1,217,817.3727081638011,696
APOE+ FIB,LS,1,Patient1,333,1111.7004772986484,697
APOE+ FIB,LS,1,Patient1,266,957.6979488260434,699
APOE+ FIB,LS,1,Patient1,296,1017.6522081698691,700
APOE+ FIB,LS,2,Patient1,336,1112.9362216723268,702
APOE+ FIB,LS,1,Patient1,394,1209.557683458452,703
APOE+ FIB,LS,1,Patient1,190,746.3324626193056,704
APOE+ FIB,LS,1,Patient1,271,931.5604683933964,705
APOE+ FIB,LS,1,Patient1,349,1127.5062177075836,706
APOE+ FIB,LS,1,Patient1,141,599.2268502126511,708
APOE+ FIB,LS,1,Patient1,303,1000.9620254069711,709
APOE+ FIB,LS,1,Patient1,256,904.5067634899884,710
APOE+ FIB,LS,1,Patient1,236,867.8916810110495,711
APOE+ FIB,LS,1,Patient1,272,975.8335870053969,712
APOE+ FIB,LS,1,Patient1,292,989.3998323292672,713
APOE+ FIB,LS,1,Patient1,155,644.3094465433594,714
APOE+ FIB,LS,1,Patient1,241,895.6034166641206,715
APOE+ FIB,LS,1,Patient1,178,708.9006996394793,716
APOE+ FIB,LS,1,Patient1,272,975.8681749159634,717
APOE+ FIB,LS,3,Patient1,190,742.9381576846087,718
APOE+ FIB,LS,1,Patient1,275,944.725946315438,719
APOE+ FIB,LS,1,Patient1,280,990.7266906832665,720
APOE+ FIB,LS,1,Patient1,299,1020.6119275433601,721
APOE+ FIB,LS,1,Patient1,283,956.9428730705392,722
APOE+ FIB,LS,1,Patient1,245,892.6090851028865,723
APOE+ FIB,LS,3,Patient1,230,847.416504663413,724
APOE+ FIB,LS,3,Patient1,257,929.9897480522211,725
APOE+ FIB,LS,1,Patient1,262,918.271454132175,726
APOE+ FIB,LS,1,Patient1,206,788.6939889625933,727
APOE+ FIB,LS,1,Patient1,283,966.3547063413041,728
APOE+ FIB,LS,1,Patient1,208,796.3825639532292,729
APOE+ FIB,LS,1,Patient1,227,849.5923556155913,730
APOE+ FIB,LS,1,Patient1,306,1055.9459017192085,731
APOE+ FIB,LS,1,Patient1,288,989.0874022111559,732
APOE+ FIB,LS,1,Patient1,255,913.3571979497129,733
APOE+ FIB,LS,1,Patient1,272,948.8066333296699,734
APOE+ FIB,LS,1,Patient1,275,966.1295522983974,735
APOE+ FIB,LS,1,Patient1,214,815.3419523983142,736
APOE+ FIB,LS,1,Patient1,238,872.4208261582428,737
APOE+ FIB,LS,1,Patient1,275,952.1841592268789,738
APOE+ FIB,LS,1,Patient1,197,767.8928306923821,739
APOE+ FIB,LS,1,Patient1,252,916.3098930360893,740
APOE+ FIB,LS,1,Patient1,194,762.7239203038263,741
APOE+ FIB,LS,1,Patient1,219,831.8709910460327,742
APOE+ FIB,LS,3,Patient1,197,753.4802084184698,743
APOE+ FIB,LS,1,Patient1,264,942.5026449028036,744
APOE+ FIB,LS,1,Patient1,423,1273.3863161385375,745
APOE+ FIB,LS,1,Patient1,258,928.0887644058076,746
APOE+ FIB,LS,1,Patient1,191,752.711218986047,747
APOE+ FIB,LS,1,Patient1,189,735.7092449746268,748
APOE+ FIB,LS,1,Patient1,110,493.2227189338174,749
APOE+ FIB,LS,1,Patient1,282,988.9230547120537,750
APOE+ FIB,LS,1,Patient1,261,922.5296404702273,751
APOE+ FIB,LS,1,Patient1,198,769.4599121281093,752
APOE+ FIB,LS,1,Patient1,237,846.2558377126574,753
APOE+ FIB,LS,1,Patient1,172,696.8529853386219,754
APOE+ FIB,LS,1,Patient1,168,686.2875824211773,755
APOE+ FIB,LS,1,Patient1,174,699.5230983457102,756
APOE+ FIB,LS,1,Patient1,222,834.121964645259,757
APOE+ FIB,LS,1,Patient1,167,675.6982044916199,758
APOE+ FIB,LS,1,Patient1,171,692.9193719926834,759
APOE+ FIB,LS,1,Patient1,201,781.6015193525255,760
APOE+ FIB,LS,1,Patient1,228,848.8279364991695,761
APOE+ FIB,LS,1,Patient1,223,840.4788451804246,762
APOE+ FIB,LS,1,Patient1,248,914.6764525874852,763
APOE+ FIB,LS,1,Patient1,163,659.6452713610896,764
APOE+ FIB,LS,1,Patient1,197,762.9403602000799,765
APOE+ FIB,LS,1,Patient1,209,807.7741375445064,766
APOE+ FIB,LS,1,Patient1,245,904.9287852473964,767
APOE+ FIB,LS,1,Patient1,245,878.2321653935326,768
APOE+ FIB,LS,1,Patient1,191,744.8375899759089,769
APOE+ FIB,LS,1,Patient1,166,678.9197689628446,770
APOE+ FIB,LS,1,Patient1,207,799.9007925578056,771
APOE+ FIB,LS,1,Patient1,179,713.8432213337024,772
APOE+ FIB,LS,1,Patient1,157,643.425424575499,773
APOE+ FIB,LS,1,Patient1,248,898.2820538016241,774
APOE+ FIB,LS,1,Patient1,234,856.7311032209037,775
APOE+ FIB,LS,1,Patient1,223,839.4409104423211,776
APOE+ FIB,LS,1,Patient1,128,557.2868524763297,777
APOE+ FIB,LS,1,Patient1,198,763.3912183499107,778
APOE+ FIB,LS,1,Patient1,228,834.9546334942912,779
APOE+ FIB,LS,1,Patient1,199,761.6733591001162,780
APOE+ FIB,LS,1,Patient1,198,771.4196283990188,781
APOE+ FIB,LS,1,Patient1,118,522.5934675566834,782
APOE+ FIB,LS,1,Patient1,223,832.2337037165103,783
APOE+ FIB,LS,1,Patient1,170,682.4790486172036,784
APOE+ FIB,LS,1,Patient1,243,883.9701360476116,785
APOE+ FIB,LS,1,Patient1,179,712.0207591751207,786
APOE+ FIB,LS,1,Patient1,162,665.588739310753,787
APOE+ FIB,LS,1,Patient1,236,856.5844922141305,788
APOE+ FIB,LS,1,Patient1,164,667.9706695163842,789
APOE+ FIB,LS,1,Patient1,145,609.9372220957999,790
APOE+ FIB,LS,1,Patient1,167,663.2274154983979,791
APOE+ FIB,LS,1,Patient1,206,761.6549971240084,792
APOE+ FIB,LS,1,Patient1,227,857.6866975024752,793
APOE+ FIB,LS,1,Patient1,229,839.5384794654562,794
APOE+ FIB,LS,1,Patient1,185,724.4595738888506,795
APOE+ FIB,LS,1,Patient1,140,592.3305381177835,796
APOE+ FIB,LS,1,Patient1,177,708.6884011828405,797
APOE+ FIB,LS,1,Patient1,231,861.6054614529313,798
APOE+ FIB,LS,1,Patient1,222,831.4418938705871,799
APOE+ FIB,LS,1,Patient1,227,840.3372757786161,801
APOE+ FIB,LS,1,Patient1,126,549.8498076912939,802
APOE+ FIB,LS,1,Patient1,186,738.978255487233,803
APOE+ FIB,LS,1,Patient1,190,740.8252715667498,804
APOE+ FIB,LS,1,Patient2,3020,3476.79408810791,805
APOE+ FIB,LS,1,Patient2,3152,3483.1750858051237,806
APOE+ FIB,LS,1,Patient2,2828,3512.39504400279,807
APOE+ FIB,LS,1,Patient2,3070,3551.2956368099967,808
APOE+ FIB,LS,1,Patient2,2753,3347.5568986024546,809
APOE+ FIB,LS,1,Patient2,2373,3159.758224240995,811
APOE+ FIB,LS,1,Patient2,2305,3132.8931701679353,813
APOE+ FIB,LS,1,Patient2,2665,3320.462114667058,816
APOE+ FIB,LS,1,Patient2,2302,3054.8043386581426,817
APOE+ FIB,LS,1,Patient2,2235,3101.2557755341177,819
APOE+ FIB,LS,1,Patient2,2483,3186.3436414075686,820
APOE+ FIB,LS,1,Patient2,2514,3254.9185650079894,821
APOE+ FIB,LS,1,Patient2,2488,3213.811547377854,822
